ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
cabazitaxel,B: confirm date(s),1,FDA(2024-03-14); HSA(no-date),2024-03-14,CABAZITAXEL; Jevtana® Concentrate and Solvent for Solution for Infusion 60mg/1.5ml,ACTAVIS; Sanofi-Aventis Deutschland GmbH (Drug Product & Solvent)
ketorolac tromethamine,B: confirm date(s),1,FDA(2024-03-26); HSA(no-date),2024-03-26,KETO FILM COATED TABLET 10 mg; KETOROLAC TROMETHAMINE,CAPLIN; YUNG SHIN PHARMACEUTICAL IND CO LTD
danicopan,B: confirm date(s),1,FDA(2024-03-29); HSA(no-date),2024-03-29,VOYDEYA; VOYDEYA FILM-COATED TABLET 100 MG + 100 MG,ALEXION PHARMS INC; Catalent CTS LLC&&Hovione Farmaciencia S.A.
hydroxyurea,B: confirm date(s),1,FDA(2024-04-04); HSA(no-date),2024-04-04,HYDRINE CAPSULES 500 mg; XROMI,KOREA UNITED PHARM. INC.; NOVA LABS LTD
tafluprost,B: confirm date(s),1,FDA(2024-04-05); HSA(no-date),2024-04-05,TAFLOTAN-S OPHTHALMIC SOLUTION 0.0015%; TAFLUPROST,INGENUS PHARMS LLC; Santen Pharmaceutical Co Ltd (Noto Plant)
dextrose,B: confirm date(s),1,FDA(2024-04-08); HSA(no-date),2024-04-08,DEXTROSE 5%; DEXTROSE SOLUTION FOR I.V. INJECTION 50%,AM REGENT; EURO-MED LABORATORIES PHIL INC
selpercatinib,B: confirm date(s),1,FDA(2024-04-10); HSA(no-date),2024-04-10,RETEVMO; TANSTRIVE HARD CAPSULES 40MG,"ELI LILLY AND CO; Lilly del Caribe, Inc.&&Lilly, S.A. (Primary and Secondary Packager)"
vedolizumab,B: confirm date(s),1,FDA(2024-04-18); HSA(no-date),2024-04-18,ENTYVIO; ENTYVIO SOLUTION FOR INJECTION IN PRE-FILLED PEN 108MG/0.68ML,TAKEDA PHARMS USA; Vetter Pharma Fertigung GmbH & Co. KG
alpelisib,B: confirm date(s),1,FDA(2024-04-24); HSA(no-date),2024-04-24,PIQRAY 300MG DAILY DOSE PACK (150mg + 150mg); VIJOICE,NOVARTIS; NOVARTIS PHARMA STEIN AG
ezetimibe,B: confirm date(s),1,FDA(2024-04-29); HSA(no-date),2024-04-29,EZETIMIBE; EZZICAD TABLETS 10MG,Glenmark Pharmaceuticals Limited; MACLEODS PHARMS LTD
levocetirizine dihydrochloride,B: confirm date(s),1,FDA(2024-05-06); HSA(no-date),2024-05-06,LEVOCETIRIZINE DIHYDROCHLORIDE; Levozine F.C. Tablet 5mg,"IPCA LABS LTD; Standard Chem. & Pharm. Co., Ltd."
efavirenz,B: confirm date(s),1,FDA(2024-05-10); HSA(no-date),2024-05-10,EFAVIRENZ; EFAVIRENZ SANDOZ FILM COATED TABLET 600MG,MACLEODS PHARMS LTD; Sandoz Private Limited
cisplatin,B: confirm date(s),1,FDA(2024-05-10); HSA(no-date),2024-05-10,CISPLATIN; CISPLATIN INJECTION 1 mg/ml,Bridgewest Perth Pharma Pty Ltd; QILU
palbociclib,B: confirm date(s),1,FDA(2024-06-05); HSA(no-date),2024-06-05,IBRANCE FILM COATED TABLET 125MG; PALBOCICLIB,Pfizer Manufacturing Deutschland GmbH; ZYDUS LIFESCIENCES
avanafil,B: confirm date(s),1,FDA(2024-06-14); HSA(no-date),2024-06-14,AVANAFIL; SPEDRA TABLET 50MG,HETERO LABS LTD V; MENARINI VON HEYDEN GmbH
vigabatrin,B: confirm date(s),1,FDA(2024-06-17); HSA(no-date),2024-06-17,SABRIL TABLET 500 mg; VIGAFYDE,PYROS PHARMS; Patheon France
trospium,B: confirm date(s),1,FDA(2024-06-18); HSA(no-date),2024-06-18,Spasmolyt Tablet 20mg; TROSPIUM CHLORIDE,MACLEODS PHARMS LTD; Madaus GmbH
midostaurin,B: confirm date(s),1,FDA(2024-06-28); HSA(no-date),2024-06-28,MIDOSTAURIN; RYDAPT SOFT CAPSULE 25MG,Catalent Germany Eberbach GmbH&&Catalent Germany Schorndorf GmbH (Primary and Secondary packager); DR REDDYS
acitretin,B: confirm date(s),1,FDA(2024-08-05); HSA(no-date),2024-08-05,ACITRETIN; NEOTIGASON CAPSULE 10 mg,ALEMBIC; DSM Nutritional Products France (Intermediate DP manufacturer)&&CENEXI (OSNY site)
thiotepa,B: confirm date(s),1,FDA(2024-08-20); HSA(no-date),2024-08-20,THIOTEPA; THIOTEPA RIEMSER POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 15MG/VIAL,REGCON HOLDINGS; Thymoorgan Pharmazie GmbH
riluzole,B: confirm date(s),1,FDA(2024-08-22); HSA(no-date),2024-08-22,RILUTEK TABLET 50 mg; RILUZOLE,ALKEM LABS LTD; Opella Healthcare International SAS
temozolomide,B: confirm date(s),1,FDA(2024-08-23); HSA(no-date),2024-08-23,TEMOZOLOMIDE; TemoRel HARD CAPSULE 100MG,HETERO LABS LTD V; Reliance Life Sciences Pvt Ltd.
tolterodine,B: confirm date(s),1,FDA(2024-08-27); HSA(no-date),2024-08-27,TOLCORD 2 FILM COATED TABLET 2 MG; TOLTERODINE TARTRATE,INTAS PHARMACEUTICALS LIMITED&&Intas Pharmaceuticals Limited; UNICHEM
letermovir,B: confirm date(s),1,FDA(2024-08-30); HSA(no-date),2024-08-30,PREVYMIS; PREVYMIS FILM COATED TABLET 240MG,MSD; MSD International GmbH T/A MSD Ireland (Ballydine)&&Organon Heist bv (Primary Packager and Secondary packager)
albendazole,B: confirm date(s),1,FDA(2024-09-04); HSA(no-date),2024-09-04,ALBENDAZOLE; ALBENDOL-400 TABLET 400 mg,ALEMBIC; MICRO LABS LTD
amiodarone,B: confirm date(s),1,FDA(2024-09-11); HSA(no-date),2024-09-11,AMIODARONE HYDROCHLORIDE; CORDARONE TABLET 200 mg,SANOFI WINTHROP INDUSTRIE; ZHEJIANG POLY PHARM
busulfan,B: confirm date(s),1,FDA(2024-09-11); HSA(no-date),2024-09-11,BUSULFAN; MYRAN TABLETS 2 mg,KOREA UNITED PHARMACEUTICAL INC; PRINSTON INC
fluoxetine,B: confirm date(s),1,FDA(2024-09-13); HSA(no-date),2024-09-13,FLUOXETINE HYDROCHLORIDE; FLUOXETINE-TEVA 20 MG CAPSULES,STRIDES PHARMA; TEVA PHARMACEUTICAL INDUSTRIES LTD
dexamethasone,B: confirm date(s),1,FDA(2024-09-17); HSA(no-date),2024-09-17,DEXAMETHASONE; DEXASONE TABLET 0.5 mg,ATLANTIC LABORATORIES CORPN LTD; COREPHARMA
enalapril,B: confirm date(s),1,FDA(2024-09-19); HSA(no-date),2024-09-19,ENALAPRIL MALEATE; KORANDIL 10 TABLET 10 mg,REMEDICA LTD; UNIQUE PHARM
amantadine,B: confirm date(s),1,FDA(2024-09-26); HSA(no-date),2024-09-26,AMANTADINE HYDROCHLORIDE; SYMMETREL 100 CAPSULE 100 mg,Catalent Germany Eberbach GmbH; ZHEJIANG JUTAI PHARM
pomalidomide,B: confirm date(s),1,FDA(2024-09-26); HSA(no-date),2024-09-26,POMAGEN CAPSULES 4MG; POMALIDOMIDE,"HETERO LABS LTD V; Lotus Pharmaceutical Co., Ltd. Nantou Plant"
pyridostigmine,B: confirm date(s),1,FDA(2024-10-04); HSA(no-date),2024-10-04,MESTINON TABLET 60 mg; PYRIDOSTIGMINE BROMIDE,AMNEAL; LABIANA PHARMACEUTICALS S.L.U
timolol,B: confirm date(s),1,FDA(2024-10-10); HSA(no-date),2024-10-10,TIMABAK EYEDROPS 0.5%; TIMOLOL,EXCELVISION; SOMERSET
melphalan,B: confirm date(s),1,FDA(2024-10-29); HSA(no-date),2024-10-29,ALKERAN TABLET 2 mg (Revised formula); MELPHALAN HYDROCHLORIDE,AVET LIFESCIENCES; Excella GmbH & Co. KG
ertapenem,B: confirm date(s),1,FDA(2024-10-31); HSA(no-date),2024-10-31,ERTAPENEM SODIUM; INVANZ FOR INJECTION 1 g/vial,FAREVA Mirabel; QILU ANTIBIOTICS
minocycline,B: confirm date(s),1,FDA(2024-11-01); HSA(no-date),2024-11-01,BORYMYCIN CAPSULE 100 mg; EMROSI,JOURNEY; Y. S. P. INDUSTRIES (M) SDN BHD
ciprofloxacin,B: confirm date(s),1,FDA(2024-11-05); HSA(no-date),2024-11-05,CIPROBAY 250 TABLET 250 mg; CIPROFLOXACIN HYDROCHLORIDE,ALEMBIC THERAP; Bayer AG&&BAYER HEALTHCARE MANUFACTURING S.R.L.
olmesartan medoxomil,B: confirm date(s),1,FDA(2024-11-08); HSA(no-date),2024-11-08,OLMESARTAN MEDOXOMIL; OLMEZEN FILM-COATED TABLET 20MG,CADILA PHARMS LTD; Medreich Limited
cimetidine,B: confirm date(s),1,FDA(2024-11-12); HSA(no-date),2024-11-12,CIMETIDINE; CIMETIDINE TABLET 200 mg,AUROBINDO PHARMA LTD; MICRO LABS LTD
cyanocobalamin,B: confirm date(s),1,FDA(2024-11-15); HSA(no-date),2024-11-15,CYANOCOBALAMIN; VITAMIN B12 INJECTION 1000 mcg/ml,ATLANTIC LABORATORIES CORPN LTD; MEITHEAL
daptomycin,B: confirm date(s),1,FDA(2024-11-21); HSA(no-date),2024-11-21,Cubicin (daptomycin for injection) 500mg; DAPTOMYCIN,"MAIA PHARMS INC; OSO BIOPHARMACEUTICALS MANUFACTURING LLC (manufacture, primary packaging)&&Patheon Italia S.p.A (manufacture, primary packaging, QC testing)"
trazodone,B: confirm date(s),1,FDA(2024-11-26); HSA(no-date),2024-11-26,RALDESY; TRITTICO TABLETS 50 mg,AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO ACRAF SPA; KAMAT
simvastatin,B: confirm date(s),1,FDA(2024-11-27); HSA(no-date),2024-11-27,Apo-Simvastatin 5mg Tablet; SIMVASTATIN,Apotex Inc; YILING
lurasidone,B: confirm date(s),1,FDA(2024-12-06); HSA(no-date),2024-12-06,LATUDA TABLET 80MG; LURASIDONE HYDROCHLORIDE,Bushu Pharmaceuticals Ltd (Kawagoe Factory)&&OLIC (Thailand) Ltd (Primary and Secondary Packager); JUBILANT GENERICS
baclofen,B: confirm date(s),1,FDA(2024-12-06); HSA(no-date),2024-12-06,BACLOFEN; PMS-BACLOFEN TABLET 10 mg,Pharmascience Inc.; RUBICON RESEARCH
clozapine,B: confirm date(s),1,FDA(2024-12-12); HSA(no-date),2024-12-12,CLOZAPINE; CLOZARIL TABLET 25 mg,AUROBINDO PHARMA; MADAUS GmbH
